ï»¿State,County,Date Detected,HPAI Strain,Type of Wild Bird,Sampling Source
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Missouri,Buchanan,3/8/2022,EA H5,Snow goose,Agency harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Ross's Goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Ross's Goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Ross's Goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Kansas,Barton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Kansas,Barton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Kansas,Barton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Kansas,Barton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Kansas,Barton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Indiana,Dubois,3/8/2022,EA/AM H5N1,Redhead duck,Live bird NWDP
Kentucky,Ballard,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Kentucky,Ballard,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Kentucky,Fulton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Kentucky,Fulton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Tennessee,Dyer,3/8/2022,EA H5,American green-winged teal,Hunter harvest NWDP
Tennessee,Dyer,3/8/2022,EA H5,American green-winged teal,Hunter harvest NWDP
Tennessee,Dyer,3/8/2022,EA H5,American green-winged teal,Hunter harvest NWDP
Iowa,Polk,3/10/2022,EA H5N1,Mallard,Wild bird mortality IDNR (13)
Ohio,Erie,3/10/2022,EA/AM H5N1,Herring gull,Wild bird mortality OH DNR/USGS (17)
Florida,Brevard,3/11/2022,EA/AM H5N1,Black vulture,Wild bird mortality Brevard Zoo
Florida,Brevard,3/11/2022,EA/AM H5N1,Black vulture,Wild bird mortality Brevard Zoo
Florida,Brevard,3/11/2022,EA/AM H5N1,Black vulture,Wild bird mortality Brevard Zoo
